*---------------------------------------------------------*
*   Station: de Bilt, Nederland
*   Year: 20090101
*   Source: AGMIP Phase4 Project
*   
*   Author: Nobody
*   Longitude: 5.180 W
*   Latitude: 52.00 N
*   Elevation: 1.90 m
*   Comments: 
*             
* 
* Columns:
*  ========
* station number
* year
* day
* irradiation                   (kJ m-2 d-1)
* minimum temperature           (degrees Celsius)
* maximum temperature           (degrees Celsius)
* early morning vapour pressure (kPa)
* mean wind speed (height: 2 m) (m s-1)
* precipitation                 (mm d-1)
*-------------------------------------------------------------*
1   2009 270 1165000   5.6  19.6  1.46   1.0   0.0
1   2009 271  684000   7.2  18.9  1.50   2.6   0.0
1   2009 272  347000  14.1  17.2  1.78   2.8   0.8
1   2009 273  325000  13.4  16.4  1.69   2.4   1.5
1   2009 274  530000   8.1  15.5  1.38   2.7   5.3
1   2009 275  390000   9.2  14.2  1.37   2.6   0.0
1   2009 276  326000  11.2  16.0  1.56   6.3   4.8
1   2009 277  984000   5.1  15.3  1.24   3.5   0.0
1   2009 278  242000   6.8  13.2  1.23   2.5   3.0
1   2009 279  409000  12.0  18.7  1.74   3.6   5.4
1   2009 280  373000  11.6  19.7  1.78   4.3  15.6
1   2009 281  927000   4.5  15.9  1.24   2.0  11.3
1   2009 282 1187000   2.5  14.4  1.11   3.6   9.9
1   2009 283  476000  10.0  16.7  1.53   2.8   2.0
1   2009 284  342000   9.8  14.9  1.43   2.8  16.1
1   2009 285  956000   6.0  14.5  1.25   3.4   1.0
1   2009 286 1075000   1.7  14.0  1.06   2.6   0.0
1   2009 287 1000000  -1.0  10.1  0.84   1.8   0.0
1   2009 288 1085000  -1.5  12.5  0.90   2.7   0.0
1   2009 289  693000   8.2  13.4  1.29   4.9   3.1
1   2009 290  916000   2.2  13.4  1.06   2.8   0.0
1   2009 291  704000   0.5  13.2  0.99   1.6   0.0
1   2009 292  397000   6.1  10.7  1.10   3.3   0.0
1   2009 293  882000   4.1  11.3  1.05   5.5   0.0
1   2009 294  658000   7.1  14.7  1.30   5.0   0.0
1   2009 295  226000   6.7  11.4  1.15   2.3   1.7
1   2009 296  693000   4.9  15.0  1.22   1.8   0.0
